,Carname,Carmodel,Price,Emifacility,Kmsdriven
0,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
1,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
2,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
3,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
4,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
5,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
6,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
7,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
8,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
9,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
10,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
11,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
12,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
13,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
14,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
15,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
16,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
17,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
18,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
19,2016 Maruti Wagon R 1.0,VXI Manual,"₹405,899","₹9,029/month","39,789 km1st OwnerPetrol"
20,2012 Maruti Swift,ZDI Manual,"₹476,699","₹10,604/month","78,819 km2nd OwnerDiesel"
21,2016 Renault Kwid,1.0 RXT Manual,"₹333,899","₹7,427/month","20,445 km1st OwnerPetrol"
22,2018 Volkswagen Ameo,HIGHLINE PLUS 1.0 Manual,"₹621,899","₹13,834/month","65,235 km1st OwnerPetrol"
23,2017 Skoda Octavia,Style 1.4 TSI MT Manual,"₹1,305,499","₹29,040/month","47,264 km1st OwnerPetrol"
24,2016 Maruti Baleno,ZETA 1.2 K12 Manual,"₹621,899","₹13,834/month","103,354 km1st OwnerPetrol"
25,2015 Honda Jazz,1.2 V AT Automatic,"₹524,199","₹11,661/month","65,571 km2nd OwnerPetrol"
26,2018 Maruti IGNIS,ZETA 1.2 K12 Manual,"₹564,099","₹12,548/month","45,313 km1st OwnerPetrol"
27,2020 Hyundai VENUE,1.5 SX CRDI MT Manual,"₹1,042,799","₹23,196/month","40,139 km1st OwnerDiesel"
28,2020 Maruti Ciaz,ALPHA 1.5 AT VTVT SHVS ,"₹1,083,299","₹24,097/month","35,019 km1st OwnerPetrol"
29,2017 Maruti Swift,LXI Manual,"₹528,999","₹11,767/month","29,553 km2nd OwnerPetrol"
30,2018 Maruti IGNIS,SIGMA 1.2 K12 Manual,"₹421,799","₹9,383/month","55,088 km1st OwnerPetrol"
31,2017 Honda Jazz,VX  1.2 Manual,"₹586,399","₹13,044/month","75,366 km2nd OwnerPetrol"
32,2014 Maruti Swift,VXI Manual,"₹485,199","₹10,793/month","41,934 km1st OwnerPetrol"
33,2020 Ford Ecosport,1.5 TITANIUM PLUS TI VCT AT Automatic,"₹1,260,699","₹28,044/month","5,634 km1st OwnerPetrol"
34,2018 Renault Kwid,CLIMBER 1.0 Manual,"₹397,199","₹8,835/month","31,425 km1st OwnerPetrol"
35,2018 Renault Kwid,1.0 RXT Opt AT Automatic,"₹423,899","₹9,429/month","29,061 km1st OwnerPetrol"
36,2015 Maruti Alto K10,VXI Manual,"₹273,299","₹6,079/month","234,695 km1st OwnerPetrol"
37,2018 Maruti Vitara Brezza,VDI AMT Automatic,"₹800,499","₹17,807/month","81,477 km2nd OwnerDiesel"
38,2019 Maruti Alto,VXI Manual,"₹414,499","₹9,220/month","41,432 km1st OwnerPetrol"
39,2016 Maruti Wagon R 1.0,VXI Manual,"₹405,899","₹9,029/month","39,789 km1st OwnerPetrol"
40,2014 Maruti Wagon R 1.0,VXI Manual,"₹368,799","₹8,204/month","92,708 km1st OwnerPetrol"
41,2017 Renault Captur,PLATINE DUAL TONE Manual,"₹821,799","₹18,280/month","26,909 km1st OwnerDiesel"
42,2019 Tata Harrier,XZ 2.0L Kryotec Manual,"₹1,489,899","₹33,142/month","81,479 km1st OwnerDiesel"
43,2017 Maruti Ertiga,ZDI PLUS SHVS Manual,"₹848,099","₹18,865/month","83,971 km1st OwnerDiesel"
44,2016 Volkswagen Polo,HIGHLINE1.2L PETROL Manual,"₹599,199","₹13,329/month","55,740 km1st OwnerPetrol"
45,2017 Hyundai Creta,1.6 SX PLUS PETROL Manual,"₹991,499","₹22,055/month","51,628 km1st OwnerPetrol"
46,2015 Hyundai Elite i20,SPORTZ (O) 1.4 Manual,"₹587,299","₹13,064/month","183,608 km1st OwnerDiesel"
